index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge
381,1929,CINEMATOGRAPHY,John Seitz,The Divine Lady,False,nm0782715,1937,2005,"actor,soundtrack",-8,False,2021,0
385,1944,CINEMATOGRAPHY (Black-and-White),John Seitz,Five Graves to Cairo,False,nm0782715,1937,2005,"actor,soundtrack",7,False,2021,0
389,1945,CINEMATOGRAPHY (Black-and-White),John Seitz,Double Indemnity,False,nm0782715,1937,2005,"actor,soundtrack",8,False,2021,0
393,1955,CINEMATOGRAPHY (Black-and-White),John Seitz,Rogue Cop,False,nm0782715,1937,2005,"actor,soundtrack",18,False,2021,0
397,1929,DIRECTING,Lionel Barrymore,Madame X,False,nm0000859,1878,1954,"actor,director,soundtrack",51,False,2021,0
398,1931,ACTOR,Lionel Barrymore,A Free Soul,True,nm0000859,1878,1954,"actor,director,soundtrack",53,False,2021,0
399,1929,DIRECTING,Harry Beaumont,The Broadway Melody,False,nm0064600,1888,1966,"director,actor,writer",41,False,2021,0
401,1929,DIRECTING,Irving Cummings,In Old Arizona,False,nm0191899,1888,1959,"actor,director,producer",41,False,2021,0
402,1929,DIRECTING,Frank Lloyd,The Divine Lady,True,nm0515979,1886,1960,"director,actor,writer",43,False,2021,0
411,1929,DIRECTING,Frank Lloyd,Drag;,False,nm0515979,1886,1960,"director,actor,writer",43,False,2021,0
420,1933,DIRECTING,Frank Lloyd,Cavalcade,True,nm0515979,1886,1960,"director,actor,writer",47,False,2021,0
429,1936,DIRECTING,Frank Lloyd,Mutiny on the Bounty,False,nm0515979,1886,1960,"director,actor,writer",50,False,2021,0
438,1929,DIRECTING,Ernst Lubitsch,The Patriot,False,nm0523932,1892,1947,"director,actor,writer",37,False,2021,0
439,1930,DIRECTING,Ernst Lubitsch,The Love Parade,False,nm0523932,1892,1947,"director,actor,writer",38,False,2021,0
440,1944,DIRECTING,Ernst Lubitsch,Heaven Can Wait,False,nm0523932,1892,1947,"director,actor,writer",52,False,2021,0
441,1929,WRITING,Tom Barry,In Old Arizona;,False,nm0058179,1885,1931,"writer,actor",44,False,2021,0
463,1929,WRITING,Josephine Lovett,Our Dancing Daughters,False,nm0522674,1877,1958,"writer,actress",52,False,2021,0
464,1929,WRITING,Bess Meredyth,A Woman of Affairs;,False,nm0580648,1890,1969,"writer,actress,script_department",39,False,2021,0
465,1930,ACTOR,George Arliss,Disraeli,True,nm0002183,1868,1946,"actor,writer,soundtrack",62,False,2021,0
466,1930,ACTOR,George Arliss,The Green Goddess,False,nm0002183,1868,1946,"actor,writer,soundtrack",62,False,2021,0
467,1930,ACTOR,Wallace Beery,The Big House,False,nm0000891,1885,1949,"actor,director,soundtrack",45,False,2021,0
468,1932,ACTOR,Wallace Beery,The Champ,True,nm0000891,1885,1949,"actor,director,soundtrack",47,False,2021,0
469,1930,ACTOR,Maurice Chevalier,The Big Pond,False,nm0002001,1888,1972,"soundtrack,actor,writer",42,False,2021,0
475,1930,ACTOR,Ronald Colman,Bulldog Drummond,False,nm0172903,1891,1958,"actor,soundtrack,producer",39,False,2021,0
477,1943,ACTOR,Ronald Colman,Random Harvest,False,nm0172903,1891,1958,"actor,soundtrack,producer",52,False,2021,0
479,1948,ACTOR,Ronald Colman,A Double Life,True,nm0172903,1891,1958,"actor,soundtrack,producer",57,False,2021,0
481,1930,ACTOR,Lawrence Tibbett,The Rogue Song,False,nm0862546,1896,1960,"actor,soundtrack,assistant_director",34,False,2021,0
482,1930,ACTRESS,Nancy Carroll,The Devil's Holiday,False,nm0007216,1903,1965,"actress,soundtrack",27,False,2021,0
495,1930,ACTRESS,Greta Garbo,Anna Christie,False,nm0001256,1905,1990,"actress,soundtrack",25,False,2021,0
497,1938,ACTRESS,Greta Garbo,Camille,False,nm0001256,1905,1990,"actress,soundtrack",33,False,2021,0
499,1940,ACTRESS,Greta Garbo,Ninotchka,False,nm0001256,1905,1990,"actress,soundtrack",35,False,2021,0
501,1930,ACTRESS,Norma Shearer,The Divorcee,True,nm0790454,1902,1983,"actress,soundtrack",28,False,2021,0
502,1930,ACTRESS,Norma Shearer,Their Own Desire,False,nm0790454,1902,1983,"actress,soundtrack",28,False,2021,0
503,1931,ACTRESS,Norma Shearer,A Free Soul,False,nm0790454,1902,1983,"actress,soundtrack",29,False,2021,0
504,1935,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False,nm0790454,1902,1983,"actress,soundtrack",33,False,2021,0
505,1937,ACTRESS,Norma Shearer,Romeo and Juliet,False,nm0790454,1902,1983,"actress,soundtrack",35,False,2021,0
506,1939,ACTRESS,Norma Shearer,Marie Antoinette,False,nm0790454,1902,1983,"actress,soundtrack",37,False,2021,0
507,1930,ART DIRECTION,Herman Rosse,King of Jazz,True,nm0743983,1887,1965,"art_director,art_department,production_designer",43,False,2021,0
508,1930,DIRECTING,Clarence Brown,Anna Christie;,False,nm0113284,1890,1987,"director,producer,editor",40,False,2021,0
516,1931,DIRECTING,Clarence Brown,A Free Soul,False,nm0113284,1890,1987,"director,producer,editor",41,False,2021,0
524,1944,DIRECTING,Clarence Brown,The Human Comedy,False,nm0113284,1890,1987,"director,producer,editor",54,False,2021,0
532,1946,DIRECTING,Clarence Brown,National Velvet,False,nm0113284,1890,1987,"director,producer,editor",56,False,2021,0
540,1947,DIRECTING,Clarence Brown,The Yearling,False,nm0113284,1890,1987,"director,producer,editor",57,False,2021,0
548,1930,DIRECTING,Robert Leonard,The Divorcee,False,nm0998466,1888,1948,actor,42,False,2021,0
559,1930,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True,nm0881265,0,0,"actor,producer,stunts",0,False,2021,0
562,1935,OUTSTANDING PRODUCTION,Universal,Imitation of Life,False,nm0881265,0,0,"actor,producer,stunts",0,False,2021,0
565,1936,SHORT SUBJECT (Novelty),Universal,Camera Thrills,False,nm0881265,0,0,"actor,producer,stunts",0,False,2021,0
568,1937,OUTSTANDING PRODUCTION,Universal,Three Smart Girls,False,nm0881265,0,0,"actor,producer,stunts",0,False,2021,0
571,1938,OUTSTANDING PRODUCTION,Universal,One Hundred Men and a Girl,False,nm0881265,0,0,"actor,producer,stunts",0,False,2021,0
574,1930,WRITING,Frances Marion,The Big House,True,nm0547966,1888,1973,"writer,director,actress",42,False,2021,0
575,1932,WRITING (Original Story),Frances Marion,The Champ,True,nm0547966,1888,1973,"writer,director,actress",44,False,2021,0
576,1933,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,False,nm0547966,1888,1973,"writer,director,actress",45,False,2021,0
577,1931,ACTOR,Jackie Cooper,Skippy,False,nm0178114,1922,2011,"actor,director,producer",9,False,2021,0
582,1931,ACTOR,Richard Dix,Cimarron,False,nm0228715,1893,1949,"actor,soundtrack,producer",38,False,2021,0
587,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,nm0545298,1897,1975,"actor,soundtrack",34,False,2021,0
588,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,nm0545298,1897,1975,"actor,soundtrack",35,False,2021,0
589,1938,ACTOR,Fredric March,A Star Is Born,False,nm0545298,1897,1975,"actor,soundtrack",41,False,2021,0
590,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,nm0545298,1897,1975,"actor,soundtrack",50,False,2021,0
591,1952,ACTOR,Fredric March,Death of a Salesman,False,nm0545298,1897,1975,"actor,soundtrack",55,False,2021,0
592,1931,ACTOR,Adolphe Menjou,The Front Page,False,nm0579663,1890,1963,"actor,soundtrack,producer",41,False,2021,0
593,1931,ACTRESS,Marlene Dietrich,Morocco,False,nm0000017,1901,1992,"soundtrack,actress,music_department",30,False,2021,0
595,1931,ACTRESS,Marie Dressler,Min and Bill,True,nm0237597,1868,1934,"actress,soundtrack,writer",63,False,2021,0
596,1932,ACTRESS,Marie Dressler,Emma,False,nm0237597,1868,1934,"actress,soundtrack,writer",64,False,2021,0
597,1931,ACTRESS,Irene Dunne,Cimarron,False,nm0002050,1898,1990,"actress,soundtrack",33,False,2021,0
598,1937,ACTRESS,Irene Dunne,Theodora Goes Wild,False,nm0002050,1898,1990,"actress,soundtrack",39,False,2021,0
599,1938,ACTRESS,Irene Dunne,The Awful Truth,False,nm0002050,1898,1990,"actress,soundtrack",40,False,2021,0
600,1940,ACTRESS,Irene Dunne,Love Affair,False,nm0002050,1898,1990,"actress,soundtrack",42,False,2021,0
601,1949,ACTRESS,Irene Dunne,I Remember Mama,False,nm0002050,1898,1990,"actress,soundtrack",51,False,2021,0
602,1931,ACTRESS,Ann Harding,Holiday,False,nm0362267,1902,1981,"actress,soundtrack",29,False,2021,0
604,1931,ART DIRECTION,Max Rée,Cimarron,True,nm0753663,1889,1953,"costume_designer,art_department,art_director",42,False,2021,0
605,1931,ART DIRECTION,Anton Grot,Svengali,False,nm0343819,1884,1974,"art_director,art_department,production_designer",47,False,2021,0
606,1937,ART DIRECTION,Anton Grot,Anthony Adverse,False,nm0343819,1884,1974,"art_director,art_department,production_designer",53,False,2021,0
607,1938,ART DIRECTION,Anton Grot,The Life of Emile Zola,False,nm0343819,1884,1974,"art_director,art_department,production_designer",54,False,2021,0
608,1940,ART DIRECTION,Anton Grot,The Private Lives of Elizabeth and Essex,False,nm0343819,1884,1974,"art_director,art_department,production_designer",56,False,2021,0
609,1941,ART DIRECTION (Black-and-White),Anton Grot,The Sea Hawk,False,nm0343819,1884,1974,"art_director,art_department,production_designer",57,False,2021,0
610,1931,ART DIRECTION,Richard Day,Whoopee!,False,nm0206554,1896,1972,"art_director,art_department,set_decorator",35,False,2021,0
634,1932,ART DIRECTION,Richard Day,Arrowsmith,False,nm0206554,1896,1972,"art_director,art_department,set_decorator",36,False,2021,0
658,1935,ART DIRECTION,Richard Day,The Affairs of Cellini,False,nm0206554,1896,1972,"art_director,art_department,set_decorator",39,False,2021,0
682,1936,ART DIRECTION,Richard Day,The Dark Angel,True,nm0206554,1896,1972,"art_director,art_department,set_decorator",40,False,2021,0
706,1937,ART DIRECTION,Richard Day,Dodsworth,True,nm0206554,1896,1972,"art_director,art_department,set_decorator",41,False,2021,0
730,1938,ART DIRECTION,Richard Day,Dead End,False,nm0206554,1896,1972,"art_director,art_department,set_decorator",42,False,2021,0
754,1939,ART DIRECTION,Richard Day,The Goldwyn Follies,False,nm0206554,1896,1972,"art_director,art_department,set_decorator",43,False,2021,0
778,1955,ART DIRECTION (Black-and-White),Richard Day,On the Waterfront,True,nm0206554,1896,1972,"art_director,art_department,set_decorator",59,False,2021,0
802,1931,CINEMATOGRAPHY,Edward Cronjager,Cimarron,False,nm0005676,1904,1960,"cinematographer,camera_department",27,False,2021,0
803,1942,CINEMATOGRAPHY (Black-and-White),Edward Cronjager,Sun Valley Serenade,False,nm0005676,1904,1960,"cinematographer,camera_department",38,False,2021,0
804,1943,CINEMATOGRAPHY (Black-and-White),Edward Cronjager,The Pied Piper,False,nm0005676,1904,1960,"cinematographer,camera_department",39,False,2021,0
805,1944,CINEMATOGRAPHY (Color),Edward Cronjager,Heaven Can Wait,False,nm0005676,1904,1960,"cinematographer,camera_department",40,False,2021,0
806,1945,CINEMATOGRAPHY (Color),Edward Cronjager,Home in Indiana,False,nm0005676,1904,1960,"cinematographer,camera_department",41,False,2021,0
807,1954,CINEMATOGRAPHY (Color),Edward Cronjager,Beneath the 12-Mile Reef,False,nm0005676,1904,1960,"cinematographer,camera_department",50,False,2021,0
808,1931,CINEMATOGRAPHY,Lee Garmes,Morocco,False,nm0005716,1898,1978,"cinematographer,director,producer",33,False,2021,0
809,1932,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True,nm0005716,1898,1978,"cinematographer,director,producer",34,False,2021,0
810,1960,CINEMATOGRAPHY (Color),Lee Garmes,The Big Fisherman,False,nm0005716,1898,1978,"cinematographer,director,producer",62,False,2021,0
811,1931,CINEMATOGRAPHY,Charles Lang,The Right to Love,False,nm0485702,1902,1998,"cinematographer,camera_department",29,False,2021,0
820,1942,CINEMATOGRAPHY (Black-and-White),Charles Lang,Sundown,False,nm0485702,1902,1998,"cinematographer,camera_department",40,False,2021,0
829,1944,CINEMATOGRAPHY (Black-and-White),Charles Lang,So Proudly We Hail!,False,nm0485702,1902,1998,"cinematographer,camera_department",42,False,2021,0
838,1945,CINEMATOGRAPHY (Black-and-White),Charles Lang,The Uninvited,False,nm0485702,1902,1998,"cinematographer,camera_department",43,False,2021,0
847,1956,CINEMATOGRAPHY (Black-and-White),Charles Lang,Queen Bee,False,nm0485702,1902,1998,"cinematographer,camera_department",54,False,2021,0
856,1931,CINEMATOGRAPHY,Floyd Crosby,Tabu,True,nm0005677,1899,1985,"cinematographer,camera_department,director",32,False,2021,0
857,1931,DIRECTING,Wesley Ruggles,Cimarron,False,nm0749484,1889,1972,"director,actor,producer",42,False,2021,0
858,1931,DIRECTING,Norman Taurog,Skippy,True,nm0851537,1899,1981,"director,writer,miscellaneous",32,False,2021,0
859,1939,DIRECTING,Norman Taurog,Boys Town,False,nm0851537,1899,1981,"director,writer,miscellaneous",40,False,2021,0
860,1931,WRITING (Adaptation),Howard Estabrook,Cimarron,True,nm0261455,1884,1978,"writer,actor,director",47,False,2021,0
861,1931,WRITING (Adaptation),Horace Jackson,Holiday,False,nm0413590,1898,1952,"writer,art_director,art_department",33,False,2021,0
864,1931,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True,nm0766850,1895,1940,"writer,director",36,False,2021,0
865,1931,WRITING (Original Story),Rowland Brown,The Doorway to Hell,False,nm0114602,1897,1963,"writer,director,miscellaneous",34,False,2021,0
866,1939,WRITING (Original Story),Rowland Brown,Angels with Dirty Faces,False,nm0114602,1897,1963,"writer,director,miscellaneous",42,False,2021,0
867,1932,ACTOR,Alfred Lunt,The Guardsman,False,nm0526795,1892,1977,actor,40,False,2021,0
868,1932,ACTRESS,Lynn Fontanne,The Guardsman,False,nm0285007,1887,1983,actress,45,False,2021,0
869,1932,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True,nm0371040,1900,1993,"actress,soundtrack",32,False,2021,0
880,1971,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,Airport,True,nm0371040,1900,1993,"actress,soundtrack",71,False,2021,0
891,1932,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False,nm0576226,1900,1938,"art_director,production_designer,set_decorator",32,False,2021,0
892,1932,ART DIRECTION,Gordon Wiles,Transatlantic,True,nm0928781,1904,1950,"art_director,director,production_designer",28,False,2021,0
